product_id,product_name,category,brand,unit_price,stock_quantity
P00140,Apple Try Groc-429,Groceries,Apple,1201.3,3045
P00141,Zara Success Spor-856,Sports,Zara,1255.14,256
P00142,Nestle Everything Book-820,Books,Nestle,931.81,3115
P00143,Philips Simply Toys-231,Toys,Philips,1464.81,3531
P00144,H&M Good Home-903,Home & Kitchen,H&M,326.35,4640
P00145,Reebok National Book-347,Books,Reebok,1389.94,68
P00146,Sony Light Elec-787,Electronics,Sony,945.1,1047
P00147,Sony Reality Book-459,Books,Sony,1413.77,4872
P00148,H&M Site Book-774,Books,H&M,279.03,3024
P00149,Sony Impact Toys-311,Toys,Sony,684.36,3993
P00150,Nike Image Spor-279,Sports,Nike,1226.61,1295
P00151,Penguin Present Beau-643,Beauty,Penguin,1080.48,4009
P00152,Nike Event Elec-326,Electronics,Nike,1499.71,958
P00153,Nestle Tell Clot-459,Clothing,Nestle,187.26,1946
P00154,Penguin Past Spor-670,Sports,Penguin,298.18,1163
P00155,H&M Property Beau-676,Beauty,H&M,949.8,1018
P00156,Nike Evidence Book-447,Books,Nike,645.96,2531
P00157,Adidas Level Beau-666,Beauty,Adidas,745.72,4486
P00158,Nike Size Groc-568,Groceries,Nike,1398.05,1892
P00159,Dyson Bar Book-723,Books,Dyson,327.54,4206
P00160,Philips Happy Clot-157,Clothing,Philips,1371.39,2282
P00161,Penguin Health Home-543,Home & Kitchen,Penguin,242.77,3964
P00162,Zara Thousand Spor-534,Sports,Zara,1180.14,1631
P00163,H&M Production Spor-227,Sports,H&M,648.53,1263
P00164,Dyson Table Elec-713,Electronics,Dyson,926.49,4500
P00165,Dyson Sing Toys-646,Toys,Dyson,993.5,3896
P00166,IKEA Edge Beau-782,Beauty,IKEA,1043.48,3943
P00167,Nike Face Book-422,Books,Nike,337.23,3602
P00168,Samsung Too Home-809,Home & Kitchen,Samsung,886.92,2897
P00169,H&M Level Elec-493,Electronics,H&M,566.36,4856
P00170,Dyson What Clot-757,Clothing,Dyson,197.0,4477
P00171,H&M Entire Book-855,Books,H&M,596.69,2700
P00172,L'Oreal Treat Beau-180,Beauty,L'Oreal,633.45,4684
P00173,Adidas Front Spor-201,Sports,Adidas,1149.94,686
P00174,Penguin Raise Clot-490,Clothing,Penguin,1136.38,4439
P00175,L'Oreal Also Book-129,Books,L'Oreal,259.36,1025
P00176,Apple Series Clot-142,Clothing,Apple,592.79,80
P00177,Reebok Pull Spor-518,Sports,Reebok,378.48,1891
P00178,Sony Carry Book-225,Books,Sony,827.04,1406
P00179,Zara Environment Home-774,Home & Kitchen,Zara,138.0,2900
P00180,Nike Agent Toys-304,Toys,Nike,1044.39,506
P00181,Sony Stage Groc-931,Groceries,Sony,364.46,4223
P00182,Nike His Groc-763,Groceries,Nike,1006.88,4187
P00183,Dyson Effort Beau-429,Beauty,Dyson,1430.07,2522
P00184,Samsung Level Spor-104,Sports,Samsung,698.98,2394
P00185,H&M Mission Book-791,Books,H&M,1146.13,3692
P00186,Nestle Condition Groc-397,Groceries,Nestle,186.04,2404
P00187,H&M Plan Toys-961,Toys,H&M,1123.66,2837
P00188,Apple Radio Clot-315,Clothing,Apple,150.14,2002
P00189,Reebok Accept Spor-279,Sports,Reebok,1329.04,1816
P00190,Sony Operation Spor-543,Sports,Sony,299.29,2723
P00191,Sony Share Groc-461,Groceries,Sony,697.67,4142
P00192,Lego Explain Toys-995,Toys,Lego,88.37,478
P00193,H&M Respond Home-987,Home & Kitchen,H&M,508.14,3739
P00194,Lego Theory Toys-536,Toys,Lego,71.68,3166
P00195,Samsung Small Book-627,Books,Samsung,1405.05,1212
P00196,Nike Need Toys-148,Toys,Nike,634.18,3356
P00197,Penguin Popular Book-980,Books,Penguin,1271.83,1713
P00198,Lego Information Home-881,Home & Kitchen,Lego,1467.01,4066
P00199,H&M Forward Beau-209,Beauty,H&M,974.51,2127
P00200,IKEA Unit Clot-788,Clothing,IKEA,411.66,2129
P00201,Zara Dream Spor-546,Sports,Zara,782.97,4217
P00202,Penguin Quality Spor-697,Sports,Penguin,1182.41,3176
P00203,Samsung Price Elec-105,Electronics,Samsung,1323.38,4523
P00204,Samsung Evening Home-625,Home & Kitchen,Samsung,734.95,3174
P00205,Apple Go Spor-664,Sports,Apple,187.01,1765
P00206,Nestle Understand Home-183,Home & Kitchen,Nestle,851.74,4144
P00207,Apple Agreement Spor-961,Sports,Apple,1284.71,5000
P00208,Philips Economic Groc-718,Groceries,Philips,197.21,3385
P00209,Samsung Let Book-199,Books,Samsung,1272.25,606
P00210,Sony Support Groc-470,Groceries,Sony,687.61,65
P00211,Apple Teacher Clot-132,Clothing,Apple,1447.99,3531
P00212,Dyson Happy Groc-962,Groceries,Dyson,482.5,1025
P00213,Lego Far Home-234,Home & Kitchen,Lego,462.78,708
P00214,IKEA Once Book-802,Books,IKEA,779.89,1841
P00215,Apple Trial Home-209,Home & Kitchen,Apple,1360.92,3307
P00216,Penguin Year Toys-912,Toys,Penguin,1125.44,3993
P00217,Adidas Alone Groc-179,Groceries,Adidas,313.3,3775
P00218,Zara Spring Beau-351,Beauty,Zara,177.99,2671
P00219,Sony Meet Home-912,Home & Kitchen,Sony,1117.02,3495
P00220,Reebok Network Home-920,Home & Kitchen,Reebok,520.21,2023
P00221,Lego Account Groc-775,Groceries,Lego,557.98,760
P00222,Penguin House Home-547,Home & Kitchen,Penguin,1131.4,3472
P00223,Nike Drug Book-492,Books,Nike,325.66,898
P00224,IKEA Night Groc-580,Groceries,IKEA,147.97,2701
P00225,Apple Direction Beau-809,Beauty,Apple,295.46,1410
P00226,H&M Decide Clot-855,Clothing,H&M,1480.41,1599
P00227,Nike Shoulder Beau-339,Beauty,Nike,1177.39,192
P00228,Adidas None Spor-390,Sports,Adidas,606.36,3878
P00229,Zara Hot Beau-525,Beauty,Zara,1269.1,4137
P00230,Penguin Wish Groc-556,Groceries,Penguin,455.77,2422
P00231,Sony Interesting Toys-422,Toys,Sony,460.32,2072
P00232,Nike Partner Home-627,Home & Kitchen,Nike,1271.77,4001
P00233,Zara Current Spor-671,Sports,Zara,990.98,866
P00234,Philips Culture Home-437,Home & Kitchen,Philips,1358.71,4178
P00235,Nestle Set Groc-386,Groceries,Nestle,1233.0,2878
P00236,Adidas Policy Elec-887,Electronics,Adidas,102.35,543
P00237,L'Oreal Camera Spor-882,Sports,L'Oreal,999.67,3059
P00238,Apple End Elec-821,Electronics,Apple,995.81,2647
P00239,Zara Investment Toys-676,Toys,Zara,1380.02,1795
P00240,Reebok Plant Groc-372,Groceries,Reebok,443.26,4030
P00241,Adidas Hundred Clot-415,Clothing,Adidas,134.72,2780
P00242,Dyson Floor Spor-920,Sports,Dyson,780.35,2039
P00243,H&M Sit Beau-951,Beauty,H&M,135.46,3472
P00244,Reebok Network Book-569,Books,Reebok,1241.37,1108
P00245,Lego And Groc-959,Groceries,Lego,576.74,3455
P00246,Sony Same Home-891,Home & Kitchen,Sony,68.72,3448
P00247,Dyson Why Groc-150,Groceries,Dyson,1301.17,4971
P00248,Adidas Factor Spor-484,Sports,Adidas,663.69,3989
P00249,L'Oreal Talk Groc-418,Groceries,L'Oreal,1271.1,274
P00250,Adidas Statement Beau-699,Beauty,Adidas,706.32,999
P00251,Apple Air Clot-290,Clothing,Apple,1479.44,450
P00252,Adidas May Elec-787,Electronics,Adidas,1376.08,2255
P00253,Zara Do Elec-853,Electronics,Zara,372.03,4187
P00254,Nestle Low Home-853,Home & Kitchen,Nestle,1027.83,3978
P00255,Dyson Determine Spor-847,Sports,Dyson,1381.78,434
P00256,Nike Around Spor-780,Sports,Nike,21.08,3255
P00257,L'Oreal Suggest Toys-546,Toys,L'Oreal,1054.96,790
P00258,Nestle Type Beau-620,Beauty,Nestle,1187.06,4082
P00259,Apple Face Groc-662,Groceries,Apple,770.42,2494
P00260,H&M Begin Book-612,Books,H&M,940.45,4027
P00261,Nestle He Book-817,Books,Nestle,873.55,698
P00262,L'Oreal Ability Clot-994,Clothing,L'Oreal,900.18,3752
P00263,Lego Seven Beau-168,Beauty,Lego,972.71,443
P00264,Zara Up Toys-825,Toys,Zara,1362.29,1449
P00265,Dyson Imagine Spor-834,Sports,Dyson,858.74,2902
P00266,Samsung Discover Clot-651,Clothing,Samsung,1291.14,1672
P00267,Reebok Control Home-605,Home & Kitchen,Reebok,1007.55,3258
P00268,Apple Talk Toys-977,Toys,Apple,641.35,4967
P00269,IKEA Seat Beau-118,Beauty,IKEA,36.2,1534
P00270,Reebok Even Toys-438,Toys,Reebok,95.39,1870
P00271,Philips This Elec-424,Electronics,Philips,1374.2,2142
P00272,Nike All Clot-379,Clothing,Nike,1133.57,322
P00273,Lego Former Groc-482,Groceries,Lego,1266.63,1826
P00274,Penguin Board Spor-282,Sports,Penguin,1259.53,2312
P00275,Nestle Answer Book-547,Books,Nestle,84.29,4667
P00276,H&M Suffer Toys-805,Toys,H&M,110.62,248
P00277,Reebok Sing Beau-747,Beauty,Reebok,1021.16,1348
P00278,Samsung Until Groc-408,Groceries,Samsung,1160.28,1687
P00279,Apple Chance Toys-554,Toys,Apple,600.64,1175
P00280,Lego Involve Groc-602,Groceries,Lego,568.23,930
P00281,Penguin Herself Spor-407,Sports,Penguin,948.37,3309
P00282,L'Oreal Name Clot-838,Clothing,L'Oreal,343.88,987
P00283,Sony Drug Book-302,Books,Sony,1402.07,4195
P00284,Dyson True Spor-411,Sports,Dyson,839.91,4721
P00285,Adidas No Book-167,Books,Adidas,271.48,413
P00286,Apple Live Elec-884,Electronics,Apple,500.99,348
P00287,Samsung Program Beau-897,Beauty,Samsung,49.15,1436
P00288,Nike Party Beau-793,Beauty,Nike,679.48,1760
P00289,Sony Lay Toys-357,Toys,Sony,279.06,1995
P00290,Sony Describe Groc-354,Groceries,Sony,330.5,1675
P00291,H&M Defense Beau-748,Beauty,H&M,227.9,512
P00292,Philips Vote Beau-741,Beauty,Philips,662.53,4199
P00293,H&M Film Groc-946,Groceries,H&M,593.32,613
P00294,Reebok Window Groc-580,Groceries,Reebok,910.28,2411
P00295,Dyson Indicate Home-724,Home & Kitchen,Dyson,270.58,287
P00296,Nestle Manage Clot-239,Clothing,Nestle,746.11,2191
P00297,Nike Fast Home-825,Home & Kitchen,Nike,514.27,711
P00298,Reebok Raise Groc-445,Groceries,Reebok,1476.91,4016
P00299,Adidas Late Toys-182,Toys,Adidas,341.23,2243
P00300,Dyson Exactly Elec-987,Electronics,Dyson,1091.21,2248
P00301,H&M Role Toys-182,Toys,H&M,935.35,3438
P00302,Nike Story Book-724,Books,Nike,597.6,1406
P00303,Nike Wear Groc-382,Groceries,Nike,529.59,422
P00304,Penguin Indeed Toys-806,Toys,Penguin,799.27,3551
P00305,IKEA Treat Toys-955,Toys,IKEA,1156.37,1754
P00306,Apple Lay Groc-480,Groceries,Apple,1045.95,3674
P00307,Nike Skill Groc-792,Groceries,Nike,1326.96,3793
P00308,IKEA Always Clot-167,Clothing,IKEA,864.95,4675
P00309,H&M End Spor-810,Sports,H&M,985.31,4956
P00310,Nestle Discover Clot-488,Clothing,Nestle,1083.35,3918
P00311,Dyson Today Elec-983,Electronics,Dyson,1129.39,4009
P00312,Samsung Tough Elec-230,Electronics,Samsung,261.03,3592
P00313,Reebok Century Toys-264,Toys,Reebok,1106.15,2507
P00314,IKEA Well Book-553,Books,IKEA,761.12,2377
P00315,Samsung Mention Spor-816,Sports,Samsung,1454.17,1797
P00316,Apple Debate Groc-752,Groceries,Apple,1133.29,3441
P00317,Lego Term Beau-448,Beauty,Lego,1251.06,2519
P00318,Dyson Step Clot-881,Clothing,Dyson,1283.74,3396
P00319,Zara Own Beau-766,Beauty,Zara,769.24,2226
P00320,Sony President Spor-282,Sports,Sony,16.51,4762
P00321,IKEA Matter Home-487,Home & Kitchen,IKEA,831.59,3298
P00322,Samsung Everything Groc-763,Groceries,Samsung,1029.14,3853
P00323,Penguin Brother Book-855,Books,Penguin,1189.83,4352
P00324,Reebok Government Book-979,Books,Reebok,433.98,3965
P00325,Philips Phone Toys-432,Toys,Philips,325.46,4751
P00326,L'Oreal Choice Home-865,Home & Kitchen,L'Oreal,1430.2,2358
P00327,Samsung Stay Spor-617,Sports,Samsung,171.87,1056
P00328,IKEA Argue Home-454,Home & Kitchen,IKEA,1467.79,3036
P00329,L'Oreal Section Elec-177,Electronics,L'Oreal,211.48,3453
P00330,L'Oreal Son Toys-870,Toys,L'Oreal,361.59,3059
P00331,Zara Parent Elec-387,Electronics,Zara,1258.25,2582
P00332,Sony Federal Book-762,Books,Sony,968.22,1903
P00333,L'Oreal Television Clot-888,Clothing,L'Oreal,857.3,3472
P00334,IKEA Team Toys-248,Toys,IKEA,1212.88,2074
P00335,Nestle Available Groc-538,Groceries,Nestle,8.64,4550
P00336,Reebok Argue Home-796,Home & Kitchen,Reebok,1450.33,486
P00337,Nike Understand Groc-162,Groceries,Nike,78.18,2089
P00338,Apple Behavior Book-891,Books,Apple,1268.95,4326
P00339,L'Oreal Against Toys-215,Toys,L'Oreal,945.29,4813
P00340,Zara Country Spor-717,Sports,Zara,1257.71,3918
P00341,Dyson Production Spor-994,Sports,Dyson,1136.46,1833
P00342,Adidas Middle Spor-617,Sports,Adidas,297.55,1604
P00343,H&M Least Groc-539,Groceries,H&M,833.09,1722
P00344,Apple Another Toys-694,Toys,Apple,1187.42,1225
P00345,Apple Meeting Book-225,Books,Apple,1439.58,1723
P00346,Apple Summer Toys-204,Toys,Apple,1367.01,3103
P00347,IKEA None Book-860,Books,IKEA,217.36,2724
P00348,Nestle Break Elec-927,Electronics,Nestle,1242.76,4941
P00349,Nestle Rest Spor-656,Sports,Nestle,1462.49,1907
P00350,IKEA Tv Book-216,Books,IKEA,871.74,4282
P00351,Lego Pick Elec-628,Electronics,Lego,387.19,4889
P00352,Samsung Generation Toys-782,Toys,Samsung,299.46,1708
P00353,IKEA Building Beau-708,Beauty,IKEA,1363.5,2874
P00354,Apple Including Elec-504,Electronics,Apple,698.22,1263
P00355,Dyson Firm Toys-746,Toys,Dyson,653.7,4379
P00356,Philips National Clot-157,Clothing,Philips,677.03,3607
P00357,Sony Everybody Groc-554,Groceries,Sony,1210.76,4409
P00358,Nestle Person Toys-786,Toys,Nestle,1069.44,4929
P00359,Nike Upon Groc-645,Groceries,Nike,1493.82,4987
P00360,Penguin Main Elec-767,Electronics,Penguin,866.45,2168
P00361,Apple Maybe Toys-906,Toys,Apple,863.36,4657
P00362,Adidas Others Spor-133,Sports,Adidas,545.51,3980
P00363,Samsung Protect Beau-784,Beauty,Samsung,639.57,2099
P00364,Lego Manager Home-220,Home & Kitchen,Lego,87.71,1928
P00365,IKEA Degree Spor-386,Sports,IKEA,1475.95,3868
P00366,Adidas National Groc-498,Groceries,Adidas,528.52,4326
P00367,Reebok Debate Beau-720,Beauty,Reebok,170.98,4395
P00368,Reebok Eat Toys-502,Toys,Reebok,126.18,1156
P00369,Samsung Travel Beau-509,Beauty,Samsung,361.13,2984
P00370,IKEA They Groc-370,Groceries,IKEA,703.31,1670
P00371,Nestle Age Book-883,Books,Nestle,225.39,3250
P00372,Samsung Late Book-111,Books,Samsung,700.28,4528
P00373,H&M Begin Beau-332,Beauty,H&M,764.63,2907
P00374,Samsung Everyone Elec-692,Electronics,Samsung,934.75,4823
P00375,Lego Enter Toys-803,Toys,Lego,1399.59,4656
P00376,Reebok Dinner Home-814,Home & Kitchen,Reebok,1463.99,2564
P00377,Philips Visit Elec-434,Electronics,Philips,101.86,2189
P00378,L'Oreal Fund Elec-615,Electronics,L'Oreal,1134.51,1830
P00379,Sony Likely Book-721,Books,Sony,734.21,2238
P00380,H&M Training Spor-393,Sports,H&M,1427.2,2634
P00381,Lego Reality Spor-961,Sports,Lego,444.04,4631
P00382,Nike Hot Toys-832,Toys,Nike,96.93,4091
P00383,Nestle Expect Groc-245,Groceries,Nestle,228.49,1158
P00384,L'Oreal Season Toys-991,Toys,L'Oreal,1361.63,692
P00385,Philips Your Book-347,Books,Philips,359.22,279
P00386,IKEA Material Elec-608,Electronics,IKEA,21.6,3770
P00387,Sony News Book-161,Books,Sony,1284.81,3901
P00388,Reebok Performance Toys-994,Toys,Reebok,1475.5,3853
P00389,Sony Develop Toys-676,Toys,Sony,368.63,4403
P00390,Philips Top Elec-426,Electronics,Philips,166.86,2935
P00391,H&M Growth Spor-667,Sports,H&M,569.11,4868
P00392,Nike Agency Elec-545,Electronics,Nike,775.99,576
P00393,Reebok Young Home-138,Home & Kitchen,Reebok,749.44,52
P00394,Samsung System Elec-512,Electronics,Samsung,919.73,662
P00395,Penguin Which Book-642,Books,Penguin,1327.5,2837
P00396,H&M Guy Spor-699,Sports,H&M,1341.07,1284
P00397,H&M Relate Home-364,Home & Kitchen,H&M,387.92,2915
P00398,Penguin Sometimes Toys-287,Toys,Penguin,322.12,1041
P00399,L'Oreal Special Clot-860,Clothing,L'Oreal,1459.0,2532
P00400,Reebok Put Beau-185,Beauty,Reebok,288.35,4684
P00401,Dyson Rich Book-187,Books,Dyson,1365.35,3293
P00402,Adidas Cover Spor-153,Sports,Adidas,361.5,648
P00403,Lego It Book-697,Books,Lego,494.08,340
P00404,Samsung Almost Groc-457,Groceries,Samsung,1108.31,3566
P00405,Sony Cultural Book-166,Books,Sony,24.45,3533
P00406,Lego Soon Spor-214,Sports,Lego,977.92,521
P00407,Apple Manage Home-972,Home & Kitchen,Apple,729.59,336
P00408,Nike Air Clot-564,Clothing,Nike,1242.02,203
P00409,Zara She Toys-913,Toys,Zara,903.68,4344
P00410,Nike International Home-382,Home & Kitchen,Nike,474.38,4466
P00411,Philips Traditional Groc-924,Groceries,Philips,781.56,4935
P00412,IKEA News Toys-617,Toys,IKEA,866.54,1921
P00413,Reebok Many Elec-757,Electronics,Reebok,284.69,2350
P00414,Penguin Good Elec-247,Electronics,Penguin,116.69,2942
P00415,Penguin Lead Elec-492,Electronics,Penguin,1297.22,4584
P00416,Sony Something Spor-209,Sports,Sony,858.57,1226
P00417,Samsung Many Toys-368,Toys,Samsung,1054.02,4475
P00418,Sony As Book-640,Books,Sony,853.04,2670
P00419,Zara Medical Beau-664,Beauty,Zara,106.59,2226
P00420,Samsung Bed Beau-708,Beauty,Samsung,1311.45,4453
P00421,Penguin Provide Toys-415,Toys,Penguin,691.28,1529
P00422,Dyson Throughout Groc-964,Groceries,Dyson,1413.44,3053
P00423,Apple Who Beau-568,Beauty,Apple,462.54,3866
P00424,Penguin Scene Elec-508,Electronics,Penguin,573.93,1843
P00425,H&M Number Elec-904,Electronics,H&M,1390.26,387
P00426,Lego Response Book-106,Books,Lego,878.69,2529
P00427,Dyson Year Beau-500,Beauty,Dyson,1308.04,2954
P00428,H&M Call Elec-199,Electronics,H&M,212.09,1811
