interaction_id,customer_id,interaction_type,interaction_date,agent_name
1050,C005540,Email Support,2026-05-10,Emma
1051,C009642,Live Chat,2024-01-12,Sarah
1052,C000965,Live Chat,2024-04-14,Fatima
1053,C000515,Refund Request,2024-04-20,Grace
1054,C003900,In-Store Visit,2026-01-24,Emma
1055,C008835,Complaint,2026-01-04,Emma
1056,C007750,Product Enquiry,2024-10-22,Sarah
1057,C001589,Product Enquiry,2025-07-04,Aisha
1058,C006736,Technical Support,2024-03-25,Sophia
1059,C001613,Email Support,2025-09-17,Raj
1060,C005560,Phone Call,2025-01-21,Emma
1061,C003117,Technical Support,2024-08-05,Aisha
1062,C003007,In-Store Visit,2025-12-19,Emma
1063,C001236,Technical Support,2026-05-04,Sarah
1064,C000829,Email Support,2024-05-24,Fatima
1065,C003873,Complaint,2025-09-23,Tom
1066,C007887,Live Chat,2025-09-14,Fatima
1067,C000961,Complaint,2025-08-11,David
1068,C006397,In-Store Visit,2025-12-07,James
1069,C006931,Technical Support,2024-08-28,Emma
1070,C004862,Live Chat,2024-03-31,Liam
1071,C008884,Email Support,2025-05-02,David
1072,C000822,Technical Support,2026-02-20,Fatima
1073,C008702,Complaint,2024-03-29,Grace
1074,C001313,Complaint,2024-04-16,Liam
1075,C001114,Live Chat,2025-09-19,Sarah
1076,C009334,Live Chat,2024-03-02,Liam
1077,C001344,Product Enquiry,2026-03-23,Priya
1078,C004273,Live Chat,2025-05-03,Emma
1079,C004352,Product Enquiry,2024-07-22,Sophia
1080,C004916,Technical Support,2025-05-06,Fatima
1081,C001189,Email Support,2025-12-12,Liam
1082,C009225,Phone Call,2024-04-23,Grace
1083,C003493,In-Store Visit,2024-07-24,Fatima
1084,C005719,Phone Call,2025-01-14,Priya
1085,C004670,Complaint,2025-11-11,Daniel
1086,C008901,In-Store Visit,2026-04-01,David
1087,C009087,In-Store Visit,2024-06-09,Fatima
1088,C002201,In-Store Visit,2024-06-28,Fatima
1089,C001754,Complaint,2025-02-27,James
1090,C009910,Live Chat,2025-06-16,Emma
1091,C004326,Technical Support,2025-01-25,Fatima
1092,C000833,Phone Call,2025-10-20,Daniel
1093,C004534,Email Support,2024-01-06,Priya
1094,C002144,In-Store Visit,2024-09-08,Raj
1095,C007240,Product Enquiry,2024-01-16,Sarah
1096,C001233,Complaint,2026-04-27,David
1097,C006050,Complaint,2025-10-29,Michael
1098,C000686,In-Store Visit,2025-07-20,Fatima
1099,C000654,Refund Request,2024-11-22,Sophia
1100,C004089,Phone Call,2025-07-03,Charlotte
1101,C009174,Product Enquiry,2024-08-28,Fatima
1102,C003879,Complaint,2024-10-02,Fatima
1103,C006756,Email Support,2024-10-05,Raj
1104,C005443,Product Enquiry,2025-01-20,James
1105,C002609,Phone Call,2025-08-17,Daniel
1106,C000635,Technical Support,2024-12-11,Emma
1107,C007542,Refund Request,2025-04-19,Daniel
1108,C003729,Live Chat,2024-02-06,Sophia
1109,C003165,Product Enquiry,2025-05-24,James
1110,C001138,In-Store Visit,2025-06-29,Sophia
1111,C008347,Product Enquiry,2026-04-12,Priya
1112,C000453,Phone Call,2025-02-09,Michael
1113,C009513,In-Store Visit,2024-02-29,Sarah
1114,C009775,Product Enquiry,2025-06-21,Raj
1115,C005140,Product Enquiry,2026-03-05,Sarah
1116,C006312,Live Chat,2025-01-30,David
1117,C007145,Email Support,2026-03-18,Fatima
1118,C008822,Live Chat,2025-07-19,Aisha
1119,C001147,Refund Request,2025-05-02,Sophia
1120,C002042,In-Store Visit,2026-02-26,James
1121,C006692,Refund Request,2025-09-17,Raj
1122,C004845,Complaint,2024-10-25,Aisha
1123,C006212,Complaint,2025-04-12,Aisha
1124,C008978,Email Support,2025-04-17,James
1125,C003444,Product Enquiry,2025-05-15,Tom
1126,C007239,Technical Support,2024-11-27,Grace
1127,C007753,Complaint,2024-05-11,James
1128,C008446,Refund Request,2024-05-25,Daniel
1129,C003849,In-Store Visit,2024-12-14,Charlotte
1130,C003263,Complaint,2024-02-07,David
1131,C004012,Technical Support,2024-04-23,Tom
1132,C006791,Live Chat,2025-08-19,Tom
1133,C006548,Live Chat,2024-08-17,Sophia
1134,C000091,Phone Call,2025-10-22,Emma
1135,C002882,Technical Support,2024-03-19,Grace
1136,C004083,Phone Call,2025-12-10,Michael
1137,C007613,Refund Request,2025-11-18,Liam
1138,C008271,Product Enquiry,2026-05-01,Tom
1139,C002608,Technical Support,2025-11-30,James
1140,C004051,In-Store Visit,2026-03-20,Tom
1141,C003920,In-Store Visit,2025-11-14,Sarah
1142,C004682,Live Chat,2025-02-26,Priya
1143,C005239,Phone Call,2024-08-02,Michael
1144,C003789,Product Enquiry,2024-08-25,Raj
1145,C003506,Phone Call,2025-10-06,Aisha
1146,C005422,Technical Support,2025-10-07,David
1147,C003389,Product Enquiry,2025-08-28,Fatima
1148,C009570,Email Support,2025-08-13,Tom
1149,C000097,Refund Request,2025-04-08,Charlotte
1150,C006390,Product Enquiry,2026-04-16,Raj
1151,C008948,Live Chat,2026-01-28,Emma
1152,C004472,Product Enquiry,2026-01-24,David
1153,C006372,Refund Request,2025-09-20,Raj
1154,C002705,Technical Support,2024-07-17,Liam
1155,C008752,Email Support,2025-09-04,Liam
1156,C009247,Email Support,2024-05-10,Sophia
1157,C007023,Complaint,2025-12-18,Michael
1158,C000824,In-Store Visit,2025-08-11,Priya
1159,C003468,Technical Support,2025-05-22,Priya
1160,C006212,In-Store Visit,2025-10-16,James
1161,C001342,Technical Support,2024-01-31,Raj
1162,C008838,Email Support,2025-06-27,Emma
1163,C001125,Email Support,2024-02-18,Emma
1164,C003267,Email Support,2024-08-24,Emma
1165,C002069,Technical Support,2024-06-26,Liam
1166,C003572,Technical Support,2025-02-02,Charlotte
1167,C006044,Complaint,2024-06-26,Charlotte
1168,C002684,In-Store Visit,2024-06-16,Liam
1169,C000421,In-Store Visit,2025-08-06,Aisha
1170,C003250,Phone Call,2025-01-12,Sarah
1171,C004942,Phone Call,2024-03-04,Priya
1172,C008729,Product Enquiry,2025-07-29,Sarah
1173,C008290,Refund Request,2024-01-20,Daniel
1174,C006883,Technical Support,2024-06-12,Aisha
1175,C005935,Technical Support,2024-08-25,Aisha
1176,C002886,In-Store Visit,2026-04-16,Charlotte
1177,C007922,Technical Support,2025-11-07,Daniel
1178,C009708,In-Store Visit,2025-05-15,Daniel
1179,C004023,Phone Call,2025-03-09,Fatima
1180,C007386,Live Chat,2025-12-22,Liam
1181,C010000,Product Enquiry,2025-06-06,David
1182,C008099,Refund Request,2024-10-09,Tom
1183,C003476,Refund Request,2025-02-05,Priya
1184,C004582,In-Store Visit,2024-01-16,Grace
1185,C003131,Phone Call,2025-01-09,Raj
1186,C006659,Technical Support,2025-01-08,Raj
1187,C007801,Technical Support,2025-11-27,Charlotte
1188,C000283,Phone Call,2025-04-02,Emma
1189,C006626,Live Chat,2025-04-20,Sophia
1190,C009529,Refund Request,2026-01-05,Grace
1191,C008699,Refund Request,2025-10-22,Raj
1192,C009018,Refund Request,2025-06-30,Raj
1193,C007435,In-Store Visit,2025-04-21,James
1194,C003778,Phone Call,2024-10-26,Priya
1195,C001959,Complaint,2024-10-24,Emma
1196,C007934,In-Store Visit,2026-03-25,Liam
1197,C004637,Phone Call,2024-10-28,James
1198,C003728,Refund Request,2024-10-05,James
1199,C000232,Complaint,2025-03-02,David
1200,C000894,In-Store Visit,2024-07-15,Sophia
1201,C008043,Phone Call,2024-01-20,Liam
1202,C004659,Technical Support,2026-01-13,Tom
1203,C005583,Complaint,2024-03-20,James
1204,C007828,Phone Call,2024-04-11,Aisha
1205,C008057,Phone Call,2024-03-24,Michael
1206,C002445,In-Store Visit,2024-05-12,Emma
1207,C001941,Product Enquiry,2024-12-16,Charlotte
1208,C008562,Product Enquiry,2025-11-30,Fatima
1209,C007254,In-Store Visit,2025-10-28,James
1210,C009317,Email Support,2024-06-03,Charlotte
1211,C003405,Live Chat,2025-02-15,Sophia
1212,C001331,Complaint,2025-01-07,Michael
1213,C009044,Phone Call,2024-08-31,David
1214,C006694,Technical Support,2025-12-30,James
1215,C000535,Live Chat,2025-03-23,Raj
1216,C004633,Technical Support,2024-04-20,Sophia
1217,C003825,In-Store Visit,2024-11-03,Aisha
1218,C001881,Live Chat,2024-08-19,Fatima
1219,C004353,Complaint,2024-04-20,David
1220,C002719,In-Store Visit,2025-03-24,Tom
1221,C002038,Technical Support,2025-04-17,Raj
1222,C006595,In-Store Visit,2026-02-16,Grace
1223,C008091,Technical Support,2024-05-04,Liam
1224,C000654,Product Enquiry,2025-05-15,Liam
1225,C004103,Email Support,2024-05-21,Emma
1226,C009425,Email Support,2025-02-22,Liam
1227,C000660,Complaint,2025-12-31,Grace
1228,C007246,In-Store Visit,2024-10-08,Liam
1229,C007142,Technical Support,2024-05-21,Tom
1230,C005701,Product Enquiry,2025-06-01,Priya
1231,C001714,Complaint,2025-05-27,Aisha
1232,C008118,In-Store Visit,2025-09-14,Daniel
1233,C009013,Email Support,2025-12-07,Sarah
1234,C005154,In-Store Visit,2025-05-17,Sarah
1235,C006623,Email Support,2026-04-22,Tom
1236,C006771,Email Support,2024-10-18,Grace
1237,C005928,Technical Support,2025-11-17,Charlotte
1238,C000846,Live Chat,2025-02-18,Grace
1239,C002147,In-Store Visit,2025-11-11,Fatima
1240,C007942,Phone Call,2024-02-14,Sophia
1241,C009976,Live Chat,2024-09-03,James
1242,C009025,Email Support,2026-05-07,Aisha
1243,C001528,Live Chat,2024-06-25,Tom
1244,C001925,Complaint,2026-02-13,Fatima
1245,C004782,In-Store Visit,2025-10-07,Daniel
1246,C007906,Technical Support,2025-01-13,Tom
1247,C009032,Complaint,2025-08-18,Emma
1248,C009821,Complaint,2024-04-18,James
1249,C006799,Refund Request,2026-02-27,James
1250,C000043,In-Store Visit,2025-04-08,Daniel
1251,C009617,Technical Support,2024-08-18,Tom
1252,C008825,Technical Support,2025-06-20,Priya
1253,C009043,Product Enquiry,2025-12-08,Fatima
1254,C005273,Live Chat,2025-01-05,Liam
1255,C006275,Live Chat,2025-09-30,David
1256,C005214,Technical Support,2025-08-15,Aisha
1257,C002493,Technical Support,2024-02-27,Michael
1258,C008230,Refund Request,2024-06-04,Daniel
1259,C007214,Phone Call,2026-03-28,Fatima
1260,C007487,Email Support,2024-08-11,Aisha
1261,C002530,Phone Call,2025-12-30,Charlotte
1262,C004343,Refund Request,2025-09-09,Sophia
1263,C001316,Refund Request,2026-04-08,Aisha
1264,C005189,Technical Support,2026-04-20,David
1265,C001122,Live Chat,2025-03-22,Emma
1266,C001481,Product Enquiry,2024-06-01,Charlotte
1267,C001647,Technical Support,2024-09-15,Raj
1268,C004907,Email Support,2024-03-12,Priya
1269,C000920,In-Store Visit,2025-07-10,Priya
1270,C007057,Complaint,2025-01-14,Grace
1271,C006752,Complaint,2024-09-21,Michael
1272,C001294,Product Enquiry,2025-01-09,Tom
1273,C009555,Complaint,2024-12-26,Tom
1274,C004162,Technical Support,2025-01-31,Sophia
1275,C000154,Technical Support,2025-03-22,Sophia
1276,C008956,Complaint,2024-04-24,Tom
1277,C005662,In-Store Visit,2025-10-21,Raj
1278,C004098,Technical Support,2025-04-14,Emma
1279,C006303,Technical Support,2024-06-14,Emma
1280,C006249,Refund Request,2025-04-04,Raj
1281,C004838,Email Support,2025-09-06,James
1282,C000133,Email Support,2026-02-10,Daniel
1283,C004690,Live Chat,2025-07-01,Emma
1284,C003116,In-Store Visit,2024-07-31,Sophia
1285,C001592,Email Support,2025-04-24,Charlotte
1286,C007223,Email Support,2025-07-20,Raj
1287,C002154,Phone Call,2025-04-03,Priya
1288,C006808,Complaint,2024-11-07,Michael
1289,C008838,Refund Request,2026-04-04,Grace
1290,C004466,Complaint,2025-02-03,Fatima
1291,C007895,In-Store Visit,2025-06-10,Charlotte
1292,C001887,Technical Support,2024-04-26,Michael
1293,C003697,Product Enquiry,2025-07-22,Sarah
1294,C006465,Email Support,2025-02-14,Grace
1295,C002025,Technical Support,2025-07-26,Sophia
1296,C004296,Product Enquiry,2025-07-31,Sarah
1297,C003831,Technical Support,2024-02-08,Liam
1298,C009199,Refund Request,2024-12-09,Sophia
1299,C001036,Technical Support,2025-04-14,Sophia
1300,C006690,Phone Call,2024-08-05,David
1301,C000610,In-Store Visit,2026-02-04,Sarah
1302,C001593,Live Chat,2026-04-15,Michael
1303,C006368,Technical Support,2025-07-30,Sophia
1304,C008851,Product Enquiry,2024-08-28,Fatima
1305,C006798,Phone Call,2026-01-30,Liam
1306,C006687,In-Store Visit,2024-02-20,Raj
1307,C006071,Live Chat,2025-11-19,Tom
1308,C003869,Refund Request,2024-06-03,Sophia
1309,C006019,Refund Request,2024-04-04,Aisha
1310,C004521,Live Chat,2024-07-08,Daniel
1311,C007451,Phone Call,2024-11-25,Sophia
1312,C009784,Email Support,2024-03-19,Charlotte
1313,C005465,Live Chat,2024-07-14,Charlotte
1314,C009251,Live Chat,2024-04-16,Daniel
1315,C009081,Live Chat,2024-12-01,Daniel
1316,C003818,Refund Request,2024-08-17,Charlotte
1317,C009765,Email Support,2025-03-06,Daniel
1318,C002371,Complaint,2026-04-19,James
1319,C002859,Phone Call,2024-02-10,Michael
1320,C000244,Refund Request,2025-01-04,Liam
1321,C005305,Email Support,2024-09-27,James
1322,C000859,Complaint,2025-10-15,Grace
1323,C001863,Phone Call,2026-01-09,Tom
1324,C005932,Phone Call,2025-12-03,Grace
1325,C003630,Email Support,2026-03-21,James
1326,C007505,Email Support,2024-04-04,Tom
1327,C006581,Product Enquiry,2024-06-16,Tom
1328,C007268,Phone Call,2024-05-05,Priya
1329,C009967,Complaint,2024-04-12,Michael
1330,C004506,Refund Request,2025-08-14,Liam
1331,C008693,In-Store Visit,2025-12-05,Grace
1332,C009920,Product Enquiry,2024-06-03,Charlotte
1333,C001875,Live Chat,2025-10-30,Tom
1334,C003744,Product Enquiry,2025-06-10,Daniel
1335,C007431,Product Enquiry,2025-10-08,Raj
1336,C001558,Refund Request,2025-10-24,Priya
1337,C004177,Refund Request,2024-08-25,Sophia
1338,C007771,Phone Call,2024-05-21,Daniel
1339,C001399,Phone Call,2025-11-01,Sarah
1340,C006106,Complaint,2024-04-03,Liam
1341,C009202,Refund Request,2024-07-08,Aisha
1342,C005794,Product Enquiry,2024-03-20,James
1343,C009838,In-Store Visit,2025-06-30,Sarah
1344,C009469,Live Chat,2024-08-28,Sophia
1345,C007901,Live Chat,2024-06-17,Priya
1346,C009114,Refund Request,2024-06-27,Charlotte
1347,C004565,Live Chat,2025-10-28,Daniel
1348,C009191,Email Support,2025-02-19,David
1349,C002956,In-Store Visit,2025-04-24,Fatima
1350,C005568,Refund Request,2024-01-10,Michael
1351,C002348,Product Enquiry,2024-04-18,Michael
1352,C000503,Phone Call,2026-04-04,Emma
1353,C006164,Product Enquiry,2025-12-05,Priya
1354,C002579,Refund Request,2025-04-29,Raj
1355,C005315,Phone Call,2024-03-22,Michael
1356,C002580,Email Support,2024-05-06,James
1357,C007260,Product Enquiry,2026-01-24,Liam
1358,C007243,Product Enquiry,2025-02-28,Emma
1359,C008395,Phone Call,2025-06-20,Aisha
1360,C001817,In-Store Visit,2026-01-25,Grace
1361,C005054,Email Support,2024-12-08,Aisha
1362,C009820,Email Support,2024-01-12,Emma
1363,C004939,Live Chat,2024-08-01,Charlotte
1364,C004187,In-Store Visit,2025-05-24,Sarah
1365,C000127,Technical Support,2025-10-30,Michael
1366,C002117,Product Enquiry,2026-04-07,Raj
1367,C003771,Refund Request,2024-04-21,Aisha
1368,C000694,Product Enquiry,2024-01-30,Tom
1369,C001276,Refund Request,2025-10-28,Liam
1370,C006627,Product Enquiry,2025-03-25,Sarah
1371,C006637,Email Support,2025-05-19,Michael
1372,C007539,Refund Request,2024-05-16,Aisha
1373,C001735,Live Chat,2025-11-07,Liam
1374,C006561,Phone Call,2025-09-06,Daniel
1375,C005084,Refund Request,2024-12-10,Priya
1376,C002755,Phone Call,2026-03-04,Sophia
1377,C001869,Live Chat,2025-06-26,Priya
1378,C002420,Live Chat,2024-06-08,Michael
1379,C004194,Live Chat,2024-09-26,Liam
1380,C002505,Phone Call,2024-10-02,Charlotte
1381,C008096,Technical Support,2025-11-28,Sophia
1382,C009249,Refund Request,2025-05-06,Michael
1383,C007206,Phone Call,2025-12-29,Tom
1384,C004962,In-Store Visit,2024-03-28,Priya
1385,C008313,Phone Call,2025-04-27,Tom
1386,C007405,Email Support,2024-03-29,Priya
1387,C004704,Phone Call,2024-05-20,Liam
1388,C009734,Product Enquiry,2025-12-19,Liam
1389,C009082,Email Support,2025-11-29,Fatima
1390,C009367,Live Chat,2025-05-14,Liam
1391,C007793,Complaint,2024-04-06,Tom
1392,C001696,Refund Request,2024-05-11,Grace
1393,C002828,Email Support,2025-01-19,Raj
1394,C007173,Technical Support,2026-03-25,Grace
1395,C009992,Complaint,2025-07-19,Priya
1396,C004635,Product Enquiry,2025-09-27,Charlotte
1397,C005544,Email Support,2025-06-03,Sarah
1398,C005402,Phone Call,2025-08-23,James
1399,C004129,Complaint,2025-06-01,Sarah
1400,C009548,Complaint,2025-06-27,James
1401,C006422,Complaint,2024-05-11,James
1402,C009158,Product Enquiry,2025-05-25,Daniel
1403,C002094,Phone Call,2025-10-19,Grace
1404,C005929,Email Support,2025-07-17,James
1405,C002954,Live Chat,2025-06-14,Charlotte
1406,C007968,Live Chat,2024-12-17,Michael
1407,C002539,Phone Call,2025-04-04,Daniel
1408,C001658,Email Support,2025-06-07,Fatima
1409,C002148,Product Enquiry,2024-08-27,Michael
1410,C002963,Complaint,2025-11-10,David
1411,C006732,Refund Request,2025-01-03,Tom
1412,C004669,Technical Support,2024-12-29,Grace
1413,C003919,In-Store Visit,2025-12-29,Fatima
1414,C003179,Refund Request,2025-11-15,Tom
1415,C004617,Product Enquiry,2026-02-20,Grace
1416,C006860,Complaint,2024-11-06,Charlotte
1417,C009907,Complaint,2025-01-23,David
1418,C007874,Refund Request,2026-05-11,Fatima
1419,C001681,Phone Call,2025-03-18,Sarah
1420,C002627,In-Store Visit,2025-11-28,Fatima
1421,C008411,Complaint,2025-11-10,Sarah
1422,C003638,Technical Support,2025-06-27,Fatima
1423,C000437,Product Enquiry,2024-03-23,Aisha
1424,C008225,Refund Request,2025-01-01,Aisha
1425,C001338,Refund Request,2024-12-14,David
1426,C005222,Phone Call,2025-06-04,Charlotte
1427,C002393,Complaint,2024-02-29,James
1428,C007741,Complaint,2025-12-29,Tom
1429,C000087,Phone Call,2024-01-30,James
1430,C003534,Complaint,2026-05-02,Raj
1431,C009976,Product Enquiry,2024-06-21,Charlotte
1432,C004721,Live Chat,2025-04-12,Sarah
1433,C000783,Live Chat,2025-10-14,Sophia
1434,C007490,Phone Call,2024-06-21,Daniel
1435,C008190,Email Support,2026-03-11,Liam
1436,C003964,Complaint,2025-03-28,Aisha
1437,C000026,Refund Request,2025-01-08,Liam
1438,C006826,Complaint,2024-05-12,Grace
1439,C005909,Phone Call,2026-03-28,Grace
1440,C008313,Email Support,2025-08-29,Daniel
1441,C007703,Email Support,2025-08-23,Priya
1442,C004156,Email Support,2025-07-08,Charlotte
1443,C001107,Refund Request,2025-01-09,Raj
1444,C001699,Refund Request,2024-07-26,David
1445,C005773,Refund Request,2024-09-28,Daniel
1446,C007613,Technical Support,2024-10-10,Charlotte
1447,C002210,Phone Call,2025-12-11,David
1448,C004808,Live Chat,2024-03-09,Charlotte
1449,C003269,Email Support,2025-05-05,Fatima
1450,C005081,Product Enquiry,2026-04-23,Tom
1451,C004151,Email Support,2024-10-23,James
1452,C005849,Email Support,2025-05-30,James
1453,C002040,Refund Request,2025-11-09,Fatima
1454,C006554,Technical Support,2025-08-23,Priya
1455,C003061,Technical Support,2026-02-11,Priya
1456,C008508,In-Store Visit,2024-05-08,Raj
1457,C006956,Phone Call,2025-10-30,Liam
1458,C002957,In-Store Visit,2025-05-13,Sarah
1459,C001312,Refund Request,2025-04-04,James
1460,C007306,Product Enquiry,2024-09-15,Raj
1461,C007273,Refund Request,2025-11-25,David
1462,C005777,Product Enquiry,2025-03-02,Sophia
1463,C000940,Phone Call,2025-09-23,Priya
1464,C008407,Complaint,2024-02-18,Michael
1465,C009955,Technical Support,2024-02-24,Michael
1466,C001102,Live Chat,2025-07-23,Priya
1467,C006273,Email Support,2024-08-26,Sophia
1468,C007372,Refund Request,2025-07-31,Tom
1469,C001260,Complaint,2026-04-02,Priya
1470,C006522,Refund Request,2025-03-08,Emma
1471,C001859,Email Support,2024-10-16,Tom
1472,C008483,Product Enquiry,2024-07-01,James
1473,C004265,Technical Support,2024-11-29,Liam
1474,C004679,Technical Support,2024-11-06,Sarah
1475,C002224,Phone Call,2025-12-03,Michael
1476,C007293,Phone Call,2025-05-11,Sophia
1477,C005693,Phone Call,2026-05-04,Grace
1478,C004758,In-Store Visit,2024-09-01,Raj
1479,C002853,Refund Request,2026-03-01,Emma
1480,C001989,Live Chat,2024-08-03,Emma
1481,C008095,Email Support,2025-07-14,Grace
1482,C009377,Refund Request,2025-12-27,Charlotte
1483,C009039,Complaint,2024-05-13,Sarah
1484,C005068,Product Enquiry,2026-01-13,Grace
1485,C006731,Product Enquiry,2024-04-24,Michael
1486,C005195,Phone Call,2025-11-30,Tom
1487,C008477,Refund Request,2024-07-18,Fatima
1488,C009033,Complaint,2024-07-19,Aisha
1489,C008239,Email Support,2024-07-11,Grace
1490,C002508,In-Store Visit,2024-09-12,Michael
1491,C005287,Live Chat,2025-06-21,Grace
1492,C004654,Phone Call,2025-01-24,Emma
1493,C009025,In-Store Visit,2024-07-13,Sophia
1494,C004962,Phone Call,2026-02-19,Sophia
1495,C002763,Complaint,2024-09-22,Sophia
1496,C009915,Refund Request,2024-03-04,Daniel
1497,C000465,Phone Call,2024-03-11,Sophia
1498,C009450,In-Store Visit,2024-11-23,Charlotte
1499,C009374,Product Enquiry,2024-02-17,Tom
1500,C008939,In-Store Visit,2025-04-14,Tom
1501,C004013,Product Enquiry,2025-04-07,Tom
1502,C001196,Email Support,2024-09-02,Tom
1503,C006810,Technical Support,2025-12-22,Emma
1504,C005574,Complaint,2025-04-30,Daniel
1505,C005232,Refund Request,2025-09-11,Michael
1506,C006071,Phone Call,2025-05-10,Emma
1507,C007643,Phone Call,2025-02-19,Tom
1508,C004062,Complaint,2024-05-30,David
1509,C004755,Product Enquiry,2025-10-11,Emma
1510,C002617,Refund Request,2025-04-30,Emma
1511,C002611,Technical Support,2026-03-10,Tom
1512,C008172,In-Store Visit,2026-02-11,David
1513,C001476,Product Enquiry,2026-02-24,Tom
1514,C003945,Live Chat,2025-07-02,David
1515,C000829,In-Store Visit,2026-02-07,Liam
1516,C007711,In-Store Visit,2026-04-13,David
1517,C001762,Product Enquiry,2024-07-27,Fatima
1518,C004334,Refund Request,2025-09-18,Priya
1519,C000742,Product Enquiry,2024-03-20,Liam
1520,C009205,Live Chat,2025-07-17,Grace
1521,C004729,Phone Call,2025-08-23,Grace
1522,C007379,In-Store Visit,2024-07-03,Michael
1523,C001585,Product Enquiry,2025-08-02,Charlotte
1524,C005556,Refund Request,2024-08-12,Emma
1525,C009871,Product Enquiry,2026-02-15,David
1526,C000743,Email Support,2024-07-31,Raj
1527,C005457,Technical Support,2026-03-17,Tom
1528,C002441,Complaint,2025-05-24,Fatima
1529,C005219,Complaint,2025-09-02,Liam
1530,C004903,Refund Request,2026-02-27,Daniel
1531,C008352,Technical Support,2025-04-10,Tom
1532,C000273,Refund Request,2025-05-29,Sophia
1533,C001796,Product Enquiry,2025-04-22,Charlotte
1534,C000437,Technical Support,2025-02-16,Sophia
1535,C009478,Live Chat,2024-03-20,Liam
1536,C007872,Complaint,2026-03-25,Sophia
1537,C006230,Complaint,2025-01-11,David
1538,C009381,Phone Call,2024-10-23,David
1539,C007226,Refund Request,2025-10-12,Michael
1540,C006766,Live Chat,2025-09-29,Grace
1541,C007727,Email Support,2024-08-02,Grace
1542,C003398,Refund Request,2026-01-13,Grace
1543,C006174,Refund Request,2024-09-26,Tom
1544,C008735,Refund Request,2026-04-28,Priya
1545,C004332,Technical Support,2024-10-25,Emma
1546,C004572,In-Store Visit,2024-12-15,James
1547,C004736,Live Chat,2026-01-29,Priya
1548,C007862,Refund Request,2025-02-28,James
1549,C001997,Product Enquiry,2025-09-04,Daniel
1550,C005655,Complaint,2025-03-27,David
1551,C004713,Phone Call,2025-06-22,Fatima
1552,C007248,In-Store Visit,2026-01-14,Emma
1553,C003311,In-Store Visit,2025-02-25,Michael
1554,C001790,Live Chat,2025-01-11,David
1555,C008701,Live Chat,2024-12-27,David
1556,C001642,Product Enquiry,2025-05-28,Raj
1557,C007740,Phone Call,2024-08-01,David
1558,C009017,Complaint,2025-09-24,Sophia
1559,C007794,Technical Support,2024-11-05,Charlotte
1560,C004707,Refund Request,2025-03-19,Sophia
1561,C000970,Phone Call,2024-12-26,Grace
1562,C000612,Complaint,2025-10-11,Fatima
1563,C002881,Email Support,2025-09-08,Charlotte
1564,C008117,Complaint,2025-03-25,Fatima
1565,C000614,Email Support,2025-04-08,Liam
1566,C009876,Phone Call,2025-06-04,James
1567,C007445,Technical Support,2024-07-27,Daniel
1568,C008262,Technical Support,2025-02-27,Emma
1569,C001846,Refund Request,2024-09-09,Raj
