warehouse_id,product_id,stock_received,stock_dispatched,inventory_date
WH009,P01257,52,20,2022-12-02
WH017,P01776,263,84,2024-05-21
WH006,P00977,422,187,2022-11-17
WH015,P00087,478,229,2022-04-16
WH003,P01622,291,228,2024-06-25
WH004,P01815,425,293,2024-04-24
WH002,P00784,50,3,2023-10-07
WH009,P00247,305,134,2022-06-07
WH005,P00419,101,67,2022-01-27
WH017,P00359,280,74,2022-03-31
WH017,P00666,379,226,2023-10-03
WH016,P00182,26,5,2024-06-22
WH005,P01214,287,101,2024-11-23
WH012,P00387,298,22,2023-01-31
WH019,P00984,393,321,2022-11-09
WH004,P00974,427,318,2023-01-26
WH003,P01678,263,242,2024-05-25
WH011,P00400,239,195,2024-12-01
WH013,P00661,59,45,2022-02-20
WH013,P00516,147,136,2023-12-08
WH017,P01819,169,68,2023-10-25
WH002,P00302,316,158,2022-08-02
WH014,P00858,54,46,2024-03-18
WH012,P00060,211,64,2024-10-19
WH010,P00406,246,26,2024-01-22
WH013,P01442,100,59,2022-10-25
WH012,P01373,72,7,2024-06-11
WH020,P01962,473,412,2024-06-21
WH011,P00157,419,135,2024-02-13
WH010,P01552,34,24,2024-06-16
WH003,P00247,301,26,2022-05-12
WH002,P00868,466,55,2024-08-13
WH018,P01161,201,44,2022-03-31
WH019,P01026,390,328,2023-01-05
WH012,P01839,17,7,2023-09-08
WH009,P01408,248,219,2023-09-02
WH016,P01175,157,62,2022-06-24
WH004,P00991,205,131,2024-05-13
WH007,P00597,23,10,2024-05-06
WH005,P01258,395,193,2023-09-22
WH018,P00207,67,38,2022-02-07
WH003,P00298,44,2,2024-05-16
WH012,P01905,292,1,2022-10-28
WH019,P01224,465,402,2024-02-17
WH008,P00114,166,49,2024-03-15
WH016,P01906,479,372,2024-12-12
WH018,P00561,495,439,2023-07-07
WH002,P01821,418,83,2023-10-25
WH010,P00288,83,11,2024-10-28
WH009,P00075,104,86,2023-07-19
WH008,P00444,487,150,2023-03-30
WH017,P01903,339,220,2024-12-22
WH015,P01307,313,26,2022-05-20
WH016,P00423,100,83,2024-12-15
WH015,P00257,131,51,2022-06-27
WH007,P00357,27,27,2023-10-19
WH011,P00258,452,333,2022-02-13
WH020,P00330,378,84,2022-12-13
WH006,P00389,431,359,2023-12-23
WH003,P00771,244,172,2023-01-08
WH015,P01560,44,1,2023-07-10
WH005,P01565,325,113,2024-10-31
WH004,P00567,272,194,2024-07-18
WH012,P00787,456,397,2023-10-01
WH005,P01488,178,68,2023-01-16
WH009,P00471,327,303,2022-01-08
WH017,P00578,296,62,2024-04-01
WH019,P00108,197,17,2023-02-26
WH017,P00841,478,420,2022-01-22
WH004,P01451,464,341,2024-12-01
WH014,P00249,308,116,2022-10-22
WH013,P01117,434,361,2023-12-27
WH015,P01525,28,23,2024-09-17
WH015,P00611,216,111,2024-07-22
WH003,P00525,354,276,2024-04-30
WH014,P01743,123,94,2022-12-21
WH003,P01745,29,13,2023-02-28
WH018,P00528,385,88,2024-03-02
WH010,P01901,411,361,2024-04-03
WH019,P00837,73,29,2022-10-26
WH002,P00055,407,231,2024-07-03
WH012,P00838,485,208,2023-10-10
WH008,P00956,451,408,2023-11-06
WH009,P00920,92,33,2023-01-08
WH013,P01440,292,152,2023-03-13
WH003,P01009,169,165,2023-08-28
WH011,P01458,39,10,2023-07-26
WH003,P00054,214,78,2024-02-27
WH008,P01036,491,359,2023-04-19
WH018,P00710,332,107,2023-05-28
WH002,P00254,305,206,2022-03-07
WH010,P01868,11,2,2022-10-11
WH011,P01632,490,79,2024-11-01
WH019,P01136,300,94,2024-03-20
WH014,P00474,429,151,2024-04-09
WH016,P00697,30,25,2022-02-17
WH019,P01342,177,96,2024-05-02
WH017,P01876,25,2,2023-02-05
WH005,P00482,276,256,2023-09-17
WH009,P00235,367,4,2024-05-06
WH016,P01184,193,83,2022-10-23
WH003,P00578,313,65,2023-06-05
WH020,P01613,175,22,2022-02-23
WH007,P01517,227,39,2023-02-14
WH006,P00720,36,28,2022-06-29
WH015,P01618,207,160,2024-02-11
WH014,P00602,84,66,2024-12-28
WH008,P01919,5,4,2024-06-15
WH017,P00392,462,51,2024-05-11
WH003,P01784,300,169,2024-03-06
WH007,P01063,54,23,2024-12-02
WH005,P01522,391,228,2024-02-02
WH019,P01278,285,248,2024-10-25
WH008,P01172,484,201,2023-04-07
WH017,P00834,197,128,2023-03-15
WH019,P00215,304,236,2022-08-04
WH009,P00537,45,19,2023-07-28
WH017,P01958,452,129,2022-05-09
WH005,P01349,36,7,2023-11-18
WH006,P01798,129,10,2022-06-07
WH013,P01448,306,255,2022-09-19
WH014,P01430,263,43,2023-01-14
WH008,P00463,494,116,2023-12-13
WH011,P00765,251,61,2023-04-17
WH006,P00204,121,49,2024-09-03
WH011,P00525,105,71,2023-06-25
WH015,P00778,27,25,2022-03-24
WH013,P00828,252,68,2024-09-03
WH015,P00669,444,310,2022-06-11
WH001,P01755,500,438,2022-02-24
WH019,P01147,153,145,2022-12-31
WH010,P01564,8,7,2023-02-17
WH020,P01226,298,261,2024-11-10
WH002,P01540,258,195,2022-12-17
WH004,P01817,233,26,2022-06-27
WH016,P00328,365,140,2024-05-26
WH020,P00793,281,225,2024-09-21
WH014,P00851,484,298,2024-06-30
WH019,P01152,297,131,2024-11-11
WH005,P00920,373,241,2023-11-12
WH018,P00708,81,14,2024-01-18
WH013,P01100,367,300,2024-09-08
WH004,P01018,297,163,2023-08-08
WH014,P01646,332,207,2023-07-16
WH001,P01219,129,82,2024-02-12
WH002,P01292,253,21,2023-04-15
WH016,P01206,294,115,2022-11-17
WH003,P00130,366,187,2024-09-03
WH018,P01817,361,193,2022-12-30
WH016,P01442,458,276,2022-12-14
WH001,P00754,256,179,2023-11-02
WH020,P00931,2,1,2023-01-11
WH006,P01205,215,45,2022-11-07
WH006,P00704,432,191,2024-09-15
WH007,P00662,318,60,2024-09-06
WH009,P01963,305,90,2022-03-13
WH011,P01623,356,63,2023-07-29
WH017,P01995,58,18,2023-02-02
WH003,P00799,369,8,2023-03-11
WH018,P00075,312,10,2024-10-24
WH016,P01722,173,159,2023-08-24
WH017,P01336,85,2,2022-01-31
WH012,P00620,362,173,2023-04-25
WH018,P00393,283,224,2022-09-14
WH010,P01217,485,189,2022-10-10
WH005,P01026,458,107,2024-04-29
WH005,P00375,246,216,2023-05-07
WH015,P01116,144,10,2024-07-12
WH011,P00044,245,212,2024-02-12
WH013,P01615,21,15,2024-06-08
WH003,P01410,416,273,2023-03-19
WH011,P00311,263,187,2022-01-19
WH012,P00976,461,141,2022-12-20
WH005,P00978,181,1,2024-06-11
WH010,P00988,458,365,2022-12-02
WH016,P00133,239,30,2024-01-26
WH016,P01088,237,35,2022-03-24
WH006,P00353,116,26,2024-06-22
WH017,P01321,75,13,2024-07-06
WH006,P01997,127,33,2024-01-30
WH005,P00945,341,311,2022-07-31
WH019,P01552,6,2,2024-06-22
WH010,P01323,307,261,2023-07-31
WH003,P00726,30,15,2022-12-06
WH012,P00901,16,6,2024-01-22
WH006,P00656,159,80,2022-01-04
WH010,P00681,105,36,2023-03-17
WH002,P00721,369,56,2023-06-13
WH014,P00694,109,92,2023-05-19
WH016,P01350,38,25,2024-02-02
WH017,P00425,297,102,2024-02-07
WH007,P01588,242,58,2023-01-20
WH008,P00186,390,351,2024-04-30
WH019,P00510,36,8,2022-02-13
WH007,P01728,336,85,2023-02-23
WH012,P00896,97,39,2022-08-07
WH004,P01626,405,180,2022-05-20
WH003,P00913,394,117,2023-01-24
WH016,P00612,373,100,2024-07-26
WH008,P01208,250,175,2024-02-15
WH009,P00790,431,162,2023-12-19
WH004,P00862,162,37,2022-07-29
WH003,P01924,364,346,2023-08-27
WH001,P01967,229,80,2024-07-19
WH004,P01187,120,36,2024-07-05
WH014,P00968,158,153,2022-03-15
WH002,P00180,131,107,2023-01-20
WH010,P01010,416,299,2022-02-06
WH009,P00105,233,202,2022-02-11
WH002,P01093,303,85,2024-01-16
WH013,P00314,3,0,2024-08-20
WH007,P01046,188,83,2023-01-22
WH017,P01225,439,126,2023-11-09
WH011,P01780,25,24,2024-06-05
WH010,P01833,136,8,2022-10-06
WH011,P01223,116,93,2023-01-09
WH010,P01362,110,13,2022-10-05
WH008,P01850,71,8,2024-01-05
WH016,P01611,88,85,2024-06-29
WH014,P00990,5,0,2024-05-17
WH014,P01347,140,95,2022-12-11
WH016,P01790,179,25,2022-02-14
WH002,P00250,194,191,2022-02-04
WH013,P01402,460,197,2023-06-01
WH002,P00308,96,15,2024-09-27
WH014,P01112,219,194,2023-08-23
WH016,P00889,91,5,2022-12-31
WH020,P00456,285,46,2022-05-15
WH014,P01290,169,93,2023-12-07
WH016,P00028,159,75,2023-11-09
WH018,P01746,102,92,2024-08-03
WH004,P00689,422,51,2023-08-11
WH012,P01537,174,80,2022-10-25
WH007,P01463,48,25,2022-07-28
WH003,P01864,375,333,2022-09-16
WH012,P00212,434,189,2023-03-01
WH017,P01443,225,105,2023-09-08
WH017,P00840,364,112,2024-11-16
WH003,P01551,473,100,2024-05-12
WH001,P00829,186,126,2022-12-26
WH018,P01683,494,215,2022-05-29
WH018,P00170,246,120,2022-02-24
WH004,P01453,32,23,2024-06-26
WH005,P01561,243,183,2022-10-02
WH001,P00654,377,117,2022-06-16
WH008,P00115,388,99,2024-10-31
WH014,P00287,418,179,2022-02-15
WH010,P00038,130,72,2024-01-19
WH010,P00453,215,148,2022-01-24
WH017,P00352,332,168,2022-08-22
WH017,P00314,216,1,2024-01-08
WH018,P00417,121,115,2023-11-26
WH003,P00026,85,63,2022-09-05
WH001,P01912,307,190,2022-12-03
WH001,P01028,326,246,2022-03-09
WH009,P00885,404,290,2024-01-14
WH008,P00316,145,19,2022-05-08
WH005,P00556,389,148,2023-06-05
WH019,P00408,379,31,2022-06-02
WH020,P00746,89,62,2024-06-13
WH019,P01678,44,11,2022-08-08
WH008,P01269,354,185,2023-06-28
WH001,P00393,275,171,2022-10-11
WH012,P00618,229,25,2024-04-29
WH001,P00459,118,20,2024-04-08
WH001,P00835,111,33,2022-01-12
WH002,P01113,171,110,2022-04-14
WH020,P01755,375,369,2024-08-31
WH003,P00227,495,468,2022-03-09
WH019,P01968,264,120,2023-10-15
WH001,P01723,403,126,2023-02-05
WH018,P01451,299,3,2024-09-05
WH002,P01346,468,107,2023-04-09
WH012,P00998,108,5,2023-08-22
WH002,P01856,247,98,2023-01-14
WH019,P00026,170,59,2024-05-27
WH005,P01802,36,27,2023-06-07
WH010,P01066,330,243,2024-06-01
WH020,P00662,489,330,2024-10-16
WH007,P01296,427,130,2022-10-19
WH020,P00752,408,293,2024-11-26
WH003,P00520,210,35,2022-06-15
WH005,P01062,343,78,2022-05-23
WH010,P00855,17,13,2022-04-28
WH013,P01010,481,104,2023-04-07
WH005,P00500,194,182,2024-03-09
WH003,P01857,384,135,2024-08-25
WH005,P01295,471,229,2023-11-13
WH017,P00023,273,90,2024-11-06
WH019,P01796,36,6,2022-07-25
WH015,P01358,65,43,2022-04-15
WH004,P00702,455,14,2023-03-06
WH016,P01761,342,44,2022-06-16
WH006,P01868,283,159,2023-01-30
WH014,P00839,0,0,2022-11-03
WH013,P01136,32,8,2022-03-05
WH003,P00640,199,23,2024-01-23
WH019,P01667,408,174,2022-07-10
WH002,P00267,451,203,2024-04-20
WH017,P01796,21,7,2024-01-06
WH009,P00038,272,130,2024-03-17
WH004,P00901,315,199,2022-11-26
WH007,P00554,448,374,2023-03-09
WH002,P01904,251,82,2023-02-19
WH002,P00342,457,68,2022-09-29
WH019,P00532,90,4,2022-10-02
WH015,P00111,380,180,2024-07-25
WH020,P00074,332,268,2022-02-27
WH018,P01517,229,110,2022-04-23
WH017,P01433,377,266,2023-01-05
WH009,P00044,34,2,2022-05-16
WH016,P01745,117,19,2024-05-02
WH014,P00681,123,15,2023-08-13
WH008,P01436,142,98,2024-09-11
WH007,P01060,334,273,2023-08-20
WH015,P01330,289,52,2024-08-19
WH007,P01975,39,6,2024-09-17
WH010,P00290,35,12,2023-08-16
WH007,P01087,63,40,2023-11-27
WH004,P01349,347,337,2024-08-15
WH012,P01040,329,300,2024-04-01
WH010,P00402,10,7,2023-04-25
WH004,P01751,187,152,2024-04-25
WH019,P01555,437,16,2022-05-21
WH003,P00269,411,359,2023-12-13
WH020,P00813,306,306,2023-06-01
WH014,P00414,102,63,2023-08-26
WH002,P00197,87,82,2022-10-18
WH011,P00055,96,0,2022-11-03
WH012,P01835,468,386,2022-06-23
WH007,P01708,41,9,2022-03-04
WH009,P00648,389,99,2024-01-03
WH014,P01399,29,27,2022-10-17
WH013,P00915,469,384,2024-02-15
WH016,P00205,106,20,2022-12-07
WH012,P00636,213,133,2022-08-28
WH007,P00836,99,96,2024-11-23
WH008,P00883,479,312,2023-11-20
WH020,P00523,278,123,2024-03-31
WH010,P00957,362,142,2022-02-24
WH016,P00061,309,278,2023-02-05
WH015,P01806,102,69,2023-03-26
WH017,P01533,18,3,2022-01-17
WH018,P01202,365,148,2024-09-20
WH009,P01730,226,19,2022-08-19
WH002,P01067,187,70,2023-05-23
WH002,P00571,329,291,2022-04-22
WH017,P00673,97,12,2023-01-14
WH013,P01181,267,86,2022-06-26
WH019,P00044,27,25,2022-06-30
WH015,P01910,387,186,2023-06-11
WH018,P01995,141,100,2023-05-15
WH013,P00282,112,6,2023-12-17
WH017,P01533,202,90,2024-05-19
WH005,P00943,335,328,2022-10-02
WH005,P01405,36,0,2024-06-11
WH009,P00221,118,111,2024-10-19
WH007,P00178,210,84,2022-06-04
WH014,P00580,497,87,2024-03-11
WH016,P00003,42,29,2023-09-13
WH005,P00711,342,161,2022-07-15
WH015,P01641,248,77,2023-08-26
WH012,P00424,83,68,2024-04-06
WH004,P00753,70,52,2023-11-29
WH020,P00622,443,198,2024-01-02
WH019,P00473,60,11,2023-11-23
WH017,P00283,198,24,2023-09-13
WH017,P00832,279,232,2023-05-21
WH012,P01628,481,124,2022-11-10
WH001,P00448,157,142,2022-08-02
WH011,P00371,403,312,2022-02-22
WH020,P00899,233,69,2023-07-25
WH002,P00339,113,31,2023-02-26
WH014,P00038,234,73,2023-03-02
WH003,P01005,276,118,2024-01-27
WH008,P01270,444,18,2022-06-02
WH001,P00812,331,106,2024-10-19
WH017,P00224,24,6,2022-03-24
WH015,P01096,252,252,2024-05-01
WH019,P00156,308,82,2022-04-17
WH003,P01589,419,73,2024-04-24
WH008,P01830,408,170,2024-03-19
WH016,P00745,40,22,2024-10-27
WH016,P01109,160,9,2023-02-08
WH010,P01182,274,122,2024-10-13
WH007,P00031,260,53,2022-10-07
WH003,P01961,460,85,2024-12-17
WH018,P00898,431,235,2022-03-18
WH015,P00630,444,334,2023-05-31
WH001,P00485,494,111,2022-03-02
WH003,P01450,390,37,2022-12-13
WH015,P00514,197,13,2022-05-17
WH004,P01061,28,9,2024-04-09
WH007,P00421,295,236,2023-01-09
WH010,P00279,296,180,2022-12-09
WH013,P01463,203,63,2022-11-14
WH005,P00691,127,15,2024-03-05
WH019,P01616,13,11,2024-11-24
WH016,P01624,248,113,2023-02-21
WH006,P00172,94,64,2024-02-07
WH005,P01625,208,14,2024-12-14
WH013,P00944,100,75,2023-12-10
WH011,P01527,187,143,2023-05-14
WH016,P00491,398,127,2023-03-27
WH005,P01417,261,116,2022-12-14
WH010,P01837,57,19,2022-01-14
WH016,P01025,3,1,2022-02-20
WH019,P01617,327,254,2022-03-26
WH017,P01537,373,264,2024-10-15
WH004,P01900,231,80,2024-08-25
WH013,P00671,22,9,2023-12-14
WH005,P01238,143,136,2023-01-15
WH014,P01078,182,41,2024-01-03
WH005,P01803,312,17,2023-07-07
WH009,P00836,9,7,2022-01-30
WH019,P00420,324,290,2023-07-04
WH001,P00587,473,244,2024-05-07
WH001,P00532,490,365,2023-07-05
WH002,P00930,303,228,2022-09-27
WH001,P00031,473,469,2022-06-04
WH006,P01828,436,105,2024-01-22
WH010,P00168,298,49,2022-05-30
WH015,P00386,138,75,2024-01-17
WH007,P01664,68,67,2023-01-03
WH001,P00714,257,130,2023-09-20
WH007,P00967,105,46,2022-02-04
WH001,P00237,354,176,2023-01-30
WH018,P00630,334,276,2023-12-25
WH015,P01169,30,28,2022-05-24
WH010,P01201,189,79,2023-11-29
WH009,P01111,386,297,2022-05-23
WH011,P01820,341,183,2023-03-20
WH004,P01585,219,38,2023-09-09
WH003,P00855,22,15,2022-03-23
WH003,P01650,80,21,2023-09-12
WH001,P01234,89,60,2022-02-13
WH014,P00462,346,295,2022-08-15
WH004,P01748,374,51,2024-10-26
WH014,P00422,101,55,2024-06-18
WH008,P01709,96,7,2024-07-04
WH006,P01109,211,155,2022-12-03
WH003,P01135,409,343,2023-11-07
WH009,P01032,93,43,2022-06-10
WH011,P00829,188,157,2023-05-31
WH007,P00863,313,237,2024-09-16
WH003,P01376,275,228,2022-10-30
WH009,P00896,240,26,2023-03-17
WH018,P00791,208,11,2022-12-04
WH001,P01325,182,86,2023-03-21
WH001,P00442,353,178,2022-08-02
WH015,P01702,121,39,2024-07-15
WH006,P00793,352,314,2024-12-18
WH009,P01606,159,8,2024-03-24
WH016,P01232,126,79,2022-04-17
WH014,P01085,288,155,2023-09-26
WH015,P01333,354,231,2024-08-22
WH003,P01173,287,206,2022-07-19
WH010,P00262,193,192,2024-11-29
WH003,P00586,310,55,2023-02-08
WH001,P00243,110,13,2022-06-08
WH006,P01665,423,185,2023-05-03
WH005,P00023,443,405,2022-10-12
WH005,P00922,97,9,2024-10-27
WH012,P00856,354,118,2022-03-07
WH002,P00332,88,23,2022-11-17
WH020,P01717,96,45,2023-10-28
WH017,P01877,17,10,2022-04-27
WH013,P01625,247,125,2023-12-01
WH005,P01181,184,22,2024-03-25
WH014,P01863,385,226,2023-10-12
WH016,P01187,488,84,2024-04-02
WH007,P00440,21,20,2023-12-05
WH006,P00028,475,359,2024-02-20
WH003,P01466,441,109,2022-07-21
WH012,P01377,114,79,2023-05-24
WH001,P00949,389,73,2022-11-24
WH015,P00407,327,287,2024-04-14
WH020,P01755,351,228,2022-04-04
WH010,P00841,292,60,2023-04-11
WH008,P00814,425,120,2023-01-19
WH016,P01631,173,26,2024-08-28
WH005,P01310,226,18,2022-05-17
WH005,P01480,312,265,2024-06-10
WH004,P00236,250,53,2024-01-20
WH015,P00384,372,173,2023-06-13
WH004,P01156,192,97,2022-04-19
WH013,P00110,439,258,2024-10-21
WH020,P01635,100,56,2024-07-02
WH010,P01281,25,22,2023-08-14
WH010,P01596,376,360,2022-04-15
WH001,P01384,32,22,2023-06-13
WH011,P01235,269,239,2023-01-13
WH005,P01155,20,13,2022-11-16
WH002,P00896,238,191,2022-03-01
WH004,P00955,192,135,2023-04-16
WH010,P00507,419,23,2022-09-25
WH014,P01831,374,170,2022-10-25
WH010,P01655,496,194,2023-05-30
WH004,P00718,155,31,2024-07-22
WH017,P01194,69,26,2023-09-16
WH017,P01903,345,308,2024-04-13
WH009,P00628,425,299,2024-08-22
WH008,P00055,267,153,2022-06-27
WH003,P01258,59,33,2023-02-05
WH008,P00227,10,1,2023-02-28
WH009,P01653,351,238,2022-06-01
WH003,P00633,19,15,2024-05-09
WH016,P01168,298,150,2024-09-01
WH001,P01819,379,377,2023-03-01
WH013,P01666,259,230,2023-10-07
WH002,P01828,445,278,2024-01-27
WH019,P00455,366,183,2022-05-05
WH015,P00914,412,146,2023-08-25
WH002,P01016,167,53,2022-12-11
WH018,P00020,319,50,2022-10-13
WH017,P00320,461,96,2024-11-02
WH013,P00067,326,309,2024-10-16
WH020,P00779,127,3,2024-04-18
WH020,P00329,104,11,2022-02-07
WH016,P00785,62,19,2023-07-14
WH005,P00708,306,126,2022-10-05
WH013,P00867,327,318,2023-01-09
WH016,P00016,490,392,2022-03-23
WH019,P01468,245,7,2024-02-14
WH002,P00680,246,46,2022-11-29
WH006,P01761,260,231,2024-01-03
WH015,P01774,232,45,2023-09-03
WH006,P00380,433,279,2022-04-23
WH005,P00791,438,405,2024-06-07
WH006,P00144,295,248,2022-03-13
WH018,P01493,123,121,2022-12-16
WH020,P00307,339,114,2023-12-14
WH018,P01940,100,67,2022-08-15
WH008,P00156,147,118,2023-07-27
WH016,P00981,482,66,2023-12-06
WH001,P01294,352,167,2023-03-20
WH003,P01417,215,150,2024-10-28
WH010,P00545,108,23,2024-06-21
WH013,P01582,55,11,2023-10-25
WH008,P00009,153,123,2024-01-29
WH008,P01227,129,59,2023-01-14
WH011,P00693,131,109,2023-10-04
WH004,P01675,476,134,2023-02-18
WH010,P01909,119,108,2023-02-22
WH016,P01284,424,227,2024-05-31
WH002,P00525,476,184,2023-07-19
WH015,P01798,194,109,2022-04-22
WH006,P01677,123,120,2023-05-20
WH001,P01257,193,184,2022-09-28
WH013,P01868,369,294,2024-06-28
WH012,P00978,274,257,2023-08-05
WH015,P00784,249,100,2023-02-21
WH012,P01690,57,2,2023-09-24
WH005,P01246,120,69,2022-02-15
WH004,P01416,436,385,2022-05-02
WH011,P00328,145,144,2023-07-14
WH012,P00383,423,313,2024-06-07
WH013,P00908,171,33,2024-11-06
WH020,P01622,354,115,2022-01-26
WH014,P01330,163,130,2022-08-19
WH002,P00507,177,148,2023-07-05
WH018,P00364,14,12,2022-04-13
WH004,P01660,484,367,2023-12-09
WH009,P00198,339,339,2024-08-19
WH015,P01610,420,36,2022-10-26
WH009,P00474,172,126,2022-08-16
WH016,P00483,455,160,2024-04-25
WH017,P01265,78,26,2024-09-22
WH004,P01846,414,179,2022-05-14
WH014,P00515,238,107,2023-12-26
WH008,P01946,293,17,2022-09-12
WH013,P00143,165,38,2024-10-08
WH003,P00529,282,276,2023-05-12
WH016,P00481,382,273,2023-07-03
WH002,P01925,420,94,2023-07-03
WH019,P01678,113,61,2024-07-10
WH020,P01397,380,69,2022-11-29
WH013,P01002,216,166,2023-04-11
WH008,P01163,475,167,2022-04-15
WH018,P00400,476,18,2024-05-12
WH012,P01295,70,68,2024-05-19
WH020,P01275,196,168,2023-06-21
WH004,P01081,159,127,2023-01-30
